user_id,question_id,question_text,options,correct_answer,user_response,is_correct,response_time_ms,risk_level
1,1,"Tap all the letters that are the same as b.","b,d,p,q",b,b,1,1200,Minimal
2,1,"Tap all the letters that are the same as b.","b,d,p,q",b,d,0,2100,Emerging Indicators
3,1,"Tap all the letters that are the same as b.","b,d,p,q",b,p,0,1800,Emerging Indicators
4,1,"Tap all the letters that are the same as b.","b,d,p,q",b,q,0,2500,Emerging Indicators
5,1,"Tap all the letters that are the same as b.","b,d,p,q",b,"",0,3000,Strong Indicators
6,1,"Tap all the letters that are the same as b.","b,d,p,q",b,"d,p",0,2200,Emerging Indicators
7,2,"Tap all the letters that are the same as d.","b,d,p,q",d,d,1,1100,Minimal
8,2,"Tap all the letters that are the same as d.","b,d,p,q",d,b,0,2000,Emerging Indicators
9,2,"Tap all the letters that are the same as d.","b,d,p,q",d,p,0,1700,Emerging Indicators
10,2,"Tap all the letters that are the same as d.","b,d,p,q",d,q,0,2600,Emerging Indicators
11,2,"Tap all the letters that are the same as d.","b,d,p,q",d,"",0,3200,Strong Indicators
12,2,"Tap all the letters that are the same as d.","b,d,p,q",d,"b,p",0,2100,Emerging Indicators
13,3,"Tap all the letters that are the same as p.","b,d,p,q",p,p,1,1300,Minimal
14,3,"Tap all the letters that are the same as p.","b,d,p,q",p,b,0,1900,Emerging Indicators
15,3,"Tap all the letters that are the same as p.","b,d,p,q",p,d,0,1700,Emerging Indicators
16,3,"Tap all the letters that are the same as p.","b,d,p,q",p,q,0,2400,Emerging Indicators
17,3,"Tap all the letters that are the same as p.","b,d,p,q",p,"",0,3100,Strong Indicators
18,3,"Tap all the letters that are the same as p.","b,d,p,q",p,"b,q",0,2000,Emerging Indicators
19,4,"Tap all the letters that are the same as q.","b,d,p,q",q,q,1,1200,Minimal
20,4,"Tap all the letters that are the same as q.","b,d,p,q",q,b,0,2100,Emerging Indicators
21,4,"Tap all the letters that are the same as q.","b,d,p,q",q,d,0,2000,Emerging Indicators
22,4,"Tap all the letters that are the same as q.","b,d,p,q",q,p,0,2300,Emerging Indicators
23,4,"Tap all the letters that are the same as q.","b,d,p,q",q,"",0,3200,Strong Indicators
24,4,"Tap all the letters that are the same as q.","b,d,p,q",q,"b,p",0,2200,Emerging Indicators
25,5,"Tap all the letters that are the same as m.","m,n,h,u",m,m,1,1100,Minimal
26,5,"Tap all the letters that are the same as m.","m,n,h,u",m,n,0,2000,Emerging Indicators
27,5,"Tap all the letters that are the same as m.","m,n,h,u",m,h,0,1800,Emerging Indicators
28,5,"Tap all the letters that are the same as m.","m,n,h,u",m,u,0,2100,Emerging Indicators
