Question_ID,Age,Category,Question,Correct_Response,Child_Response,Risk_Level,Confidence_Score
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","bat",Minimal,1.0
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","bad",Emerging,0.8
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","ba",Emerging,0.7
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","pat",Emerging,0.7
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","cat",Strong_Indicators,0.6
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","dog",Strong_Indicators,0.6
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","fish",Strong_Indicators,0.6
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","at",Emerging,0.7
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","tab",Emerging,0.7
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","b t",Emerging,0.7
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","bat bat",Strong_Indicators,0.5
1,5,Phonological Awareness,"Say these sounds: /b/ /a/ /t/","bat","",Strong_Indicators,0.4
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","s",Minimal,1.0
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","sh",Emerging,0.8
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","th",Emerging,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","f",Emerging,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","z",Emerging,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","cat",Strong_Indicators,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","dog",Strong_Indicators,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","sun",Strong_Indicators,0.7
2,5,Phonological Awareness,"What sound do you hear at the beginning of 'sun'?","s","",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","t",Minimal,1.0
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","d",Emerging,0.8
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","k",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","b",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","g",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","m",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","bat",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","mat",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","dog",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","fish",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","apple",Strong_Indicators,0.6
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","at",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","ta",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","tap",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","tat",Emerging,0.7
3,5,Phonological Awareness,"What sound do you hear at the end of 'cat'?","t","t t",Emerging,0.7
